race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
0,DIMINISHING RETURN,2.5,2,0,3.4,3.2,20.8,0,6,APX,1,5/27/16,1870,D,FT,M,13000,117,0.7623,6,-0.1851
0,BROADWAY BRETT,2.2,1,6.4,4.4,3.6,20.8,0,6,APX,1,5/27/16,1870,D,FT,M,13000,119,0.7968,5,-0.1506
0,CIVIC MINDED,7.9,6,0,0,0,20.8,0,6,APX,1,5/27/16,1870,D,FT,M,13000,119,0.9274,3,-2.00E-02
0,KINDA KIRKY,18.1,3,0,0,6.2,20.8,0,6,APX,1,5/27/16,1870,D,FT,M,13000,122,0.9474,1,1.85E-02
0,RESTORE,2.3,5,0,0,0,20.8,0,6,APX,1,5/27/16,1870,D,FT,M,13000,119,0.8369,4,-0.1105
0,OUR EL DEE,5.8,4,0,0,0,20.8,0,6,APX,1,5/27/16,1870,D,FT,M,13000,117,0.9289,2,-1.85E-02
1,ONE JUNE,1.4,4,0,0,0,174.8,0,6,APX,2,5/27/16,1650,D,FT,C,11000,122,0.8261,4,-5.45E-02
1,LIL HEAT,23.1,5,0,0,0,174.8,0,6,APX,2,5/27/16,1650,D,FT,C,11000,122,0.8435,3,-3.71E-02
1,SHATTER,6.1,6,0,0,0,174.8,0,6,APX,2,5/27/16,1650,D,FT,C,11000,122,0.8662,2,-1.44E-02
1,WAKE UP AND RUN,3.3,1,8.6,5.4,3.2,174.8,0,6,APX,2,5/27/16,1650,D,FT,C,11000,119,0.8806,1,1.44E-02
1,DA'BLUES DANCER,1.8,3,0,0,2.8,174.8,0,6,APX,2,5/27/16,1650,D,FT,C,11000,122,0.777,5,-0.1036
1,COCO GIA,30.6,2,0,12.6,4.6,174.8,0,6,APX,2,5/27/16,1650,D,FT,C,11000,115,0.692,6,-0.1886
2,PEPPERMINT ICE,3.3,3,0,0,2.8,28,0,5,APX,3,5/27/16,1760,O,FT,C,15000,116,0.8974,3,-0.0327
2,LISTENUPNOW,3.2,1,8.4,4.4,2.6,28,0,5,APX,3,5/27/16,1760,O,FT,C,15000,121,0.8828,4,-4.73E-02
2,AMERICAN MERLOT,3.3,2,0,4.6,2.6,28,0,5,APX,3,5/27/16,1760,O,FT,C,15000,121,0.906,2,-2.41E-02
2,SMILINGSUNDAE,1.7,5,0,0,0,28,0,5,APX,3,5/27/16,1760,O,FT,C,15000,121,0.8103,5,-0.1198
2,BID N ASK,5.9,4,0,0,0,28,0,5,APX,3,5/27/16,1760,O,FT,C,15000,121,0.9301,1,2.41E-02
3,LAHSHAD,8.6,7,0,0,0,16.8,0,7,APX,4,5/27/16,1870,D,FT,CO,22500,121,0.8976,2,-1.32E-02
3,TREND,2.6,1,7.2,3,2.2,16.8,0,7,APX,4,5/27/16,1870,D,FT,CO,22500,121,0.7416,7,-0.1692
3,FORT AIKEN,24.4,5,0,0,0,16.8,0,7,APX,4,5/27/16,1870,D,FT,CO,22500,121,0.8382,5,-7.26E-02
3,SHANGHAI RED,1,2,0,2.8,2.2,16.8,0,7,APX,4,5/27/16,1870,D,FT,CO,22500,121,0.813,6,-9.78E-02
3,URBAN COOL,10.6,3,0,0,4.6,16.8,0,7,APX,4,5/27/16,1870,D,FT,CO,22500,121,0.8839,4,-2.69E-02
3,HIGH SIDE,7.8,6,0,0,0,16.8,0,7,APX,4,5/27/16,1870,D,FT,CO,22500,121,0.9108,1,1.32E-02
3,STEELMAN RUN,8.9,4,0,0,0,16.8,0,7,APX,4,5/27/16,1870,D,FT,CO,22500,121,0.887,3,-2.38E-02
4,ALLIED COMMANDER,36,7,0,0,0,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,119,0.7844,7,-0.1705
4,UNSCATHED,1.5,1,5,3.2,3,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,119,0.787,6,-0.1679
4,DA GOOSE,60.3,9,0,0,0,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,124,0.472,9,-0.4829
4,WEST GHOST,2.4,2,0,3.4,3,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,124,0.8537,4,-0.1012
4,LONG GUN,4.8,5,0,0,0,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,119,0.8398,5,-0.1151
4,MR. STEIN,11.8,3,0,0,5,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,124,0.9549,1,2.09E-02
4,DRAYKE'S CHANNEL,52.7,8,0,0,0,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,119,0.6981,8,-0.2568001
4,LA PRADO,11.1,6,0,0,0,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,119,0.87,3,-8.49E-02
4,MIDNIGHT BLUE NOTE,6.6,4,0,0,0,18,0,9,APX,5,5/27/16,1760,O,FT,S,32000,119,0.934,2,-2.09E-02
5,REDBONE,5.6,5,0,0,0,27,0,7,APX,6,5/27/16,1870,D,FT,C,11000,122,0.8976,1,1.74E-02
5,SIDE POCKET,2.9,1,7.8,5,3,27,0,7,APX,6,5/27/16,1870,D,FT,C,11000,122,0.8288,4,-6.88E-02
5,EBEN ZABEEL,35.4,6,0,0,0,27,0,7,APX,6,5/27/16,1870,D,FT,C,11000,122,0.7462,6,-0.1514
5,JACOB'S LIGHTHOUSE,27.1,4,0,0,0,27,0,7,APX,6,5/27/16,1870,D,FT,C,11000,122,0.7418,7,-0.1558
5,LEON ROBERT,3.5,2,0,4.4,3,27,0,7,APX,6,5/27/16,1870,D,FT,C,11000,122,0.8186,5,-0.079
5,W W ORIENT,2.4,3,0,0,2.4,27,0,7,APX,6,5/27/16,1870,D,FT,C,11000,122,0.8316,3,-6.60E-02
5,DRILL SERGEANT,3.3,7,0,0,0,27,0,7,APX,6,5/27/16,1870,D,FT,C,11000,122,0.8802,2,-1.74E-02
6,MONTANA KID,0.5,1,3,2.4,2.1,10.2,0,6,APX,7,5/27/16,1870,O,FT,C,17000,121,0.833,6,-4.61E-02
6,PESO,9.2,5,0,0,0,10.2,0,6,APX,7,5/27/16,1870,O,FT,C,17000,121,0.8517,4,-2.74E-02
6,OL ARMY,7,2,0,3.8,2.6,10.2,0,6,APX,7,5/27/16,1870,O,FT,C,17000,121,0.8608,3,-0.0183
6,LOVE YOU MON,5.2,6,0,0,0,10.2,0,6,APX,7,5/27/16,1870,O,FT,C,17000,121,0.8482,5,-0.0309
6,W W CONCERTO,9.3,4,0,0,0,10.2,0,6,APX,7,5/27/16,1870,O,FT,C,17000,121,0.8683,2,-0.0108
6,LASTING IMPACT,13.8,3,0,0,4,10.2,0,6,APX,7,5/27/16,1870,O,FT,C,17000,121,0.8791,1,0.0108
7,BANK ACCOUNT,12.4,6,0,0,0,56.8,0,8,APX,8,5/27/16,1100,O,FT,CO,15000,122,0.8563,2,-0.1202
7,ROARIN MISSILE,3.1,7,0,0,0,56.8,0,8,APX,8,5/27/16,1100,O,FT,CO,15000,122,0.8364,3,-0.1401
7,GYP ROPE,5.2,1,12.4,6.6,4.6,56.8,0,8,APX,8,5/27/16,1100,O,FT,CO,15000,122,0.8147,6,-0.1618
7,UNBRIDLED METT,35,3,0,0,8.8,56.8,0,8,APX,8,5/27/16,1100,O,FT,CO,15000,122,0.7956,7,-0.1809
7,CHATITO,11.9,8,0,0,0,56.8,0,8,APX,8,5/27/16,1100,O,FT,CO,15000,122,0.9765,1,0.1202
7,PROUD JACKSON,8.3,5,0,0,0,56.8,0,8,APX,8,5/27/16,1100,O,FT,CO,15000,122,0.8286,5,-0.1479
7,FORT LEWIS RIVERS,2.5,4,0,0,0,56.8,0,8,APX,8,5/27/16,1100,O,FT,CO,15000,124,0.7326,8,-0.2439
7,OH MY TODD,3.2,2,0,4.6,3,56.8,0,8,APX,8,5/27/16,1100,O,FT,CO,15000,122,0.8345,4,-0.142
52,JACKSBACKTOATTACK,1.5,3,0,0,2.1,14.1,6.3,5,ASD,1,5/27/16,1210,D,SY,M,7500,124,0.8058,5,-0.1349
52,FOREVER VICTORY,2.2,1,6.4,3.4,2.1,14.1,6.3,5,ASD,1,5/27/16,1210,D,SY,M,7500,116,0.8128,4,-0.1279
52,QUEENS HOMBRE,1.75,2,0,2.7,2.1,14.1,6.3,5,ASD,1,5/27/16,1210,D,SY,M,7500,124,0.8231,3,-0.1176
52,LORD JASMOND,8.35,5,0,0,0,14.1,6.3,5,ASD,1,5/27/16,1210,D,SY,M,7500,124,0.8537,2,-8.70E-02
52,MISTER ZIBBY,14.6,4,0,0,0,14.1,6.3,5,ASD,1,5/27/16,1210,D,SY,M,7500,124,0.9407,1,8.70E-02
53,LITTLE BROWN GUY,5.75,4,0,0,0,10.9,4.9,5,ASD,2,5/27/16,1100,D,SY,C,7500,119,0.9221,2,-0.028
53,DESTINY KNOCKS,1.45,1,4.9,2.7,2.1,10.9,4.9,5,ASD,2,5/27/16,1100,D,SY,C,7500,124,0.831,3,-0.1191
53,FOREVER MAN,1.8,2,0,2.5,2.1,10.9,4.9,5,ASD,2,5/27/16,1100,D,SY,C,7500,124,0.7966,5,-0.1535
53,MEC DANCER,5.95,5,0,0,0,10.9,4.9,5,ASD,2,5/27/16,1100,D,SY,C,7500,124,0.9501,1,0.028
53,GIBSON'S BULLET,4.3,3,0,0,2.6,10.9,4.9,5,ASD,2,5/27/16,1100,D,SY,C,7500,124,0.8273,4,-0.1228
54,GOING ONCE,9.45,2,0,6.6,3.9,45.6,42.2,5,ASD,3,5/27/16,1210,D,GD,A,11000,124,0.8977,1,0.0503
54,BLACKBURN,2.25,4,0,0,0,45.6,42.2,5,ASD,3,5/27/16,1210,D,GD,A,11000,119,0.8229,4,-7.48E-02
54,PLAY BOOK,3.15,3,0,0,2.9,45.6,42.2,5,ASD,3,5/27/16,1210,D,GD,A,11000,124,0.8474,2,-0.0503
54,WOODWORTH,3.15,5,0,0,0,45.6,42.2,5,ASD,3,5/27/16,1210,D,GD,A,11000,119,0.8449,3,-0.0528
54,SAFECRACKER,1.8,1,5.6,3.9,2.1,45.6,42.2,5,ASD,3,5/27/16,1210,D,GD,A,11000,124,0.796,5,-0.1017
55,SIERRA DELTA,1.65,1,5.3,3.9,3.4,19.2,9.7,7,ASD,4,5/27/16,1540,D,GD,C,7500,124,0.7823,5,-0.1978
55,JAMISON COUNTY,6.05,4,0,0,0,19.2,9.7,7,ASD,4,5/27/16,1540,D,GD,C,7500,122,0.839,4,-0.1411
55,WAT YU SMOKIN,7.9,7,0,0,0,19.2,9.7,7,ASD,4,5/27/16,1540,D,GD,C,7500,117,0.939,2,-4.11E-02
55,READMETHEODDS,19.3,6,0,0,0,19.2,9.7,7,ASD,4,5/27/16,1540,D,GD,C,7500,122,0.7369,7,-0.2432
55,MASTER MASTER,3.15,2,0,4,3.7,19.2,9.7,7,ASD,4,5/27/16,1540,D,GD,C,7500,122,0.8445,3,-0.1356
55,MY MAN JERRY,2.65,5,0,0,0,19.2,9.7,7,ASD,4,5/27/16,1540,D,GD,C,7500,122,0.7658,6,-0.2143
55,WEEKEND AFFAIR,18.8,3,0,0,8,19.2,9.7,7,ASD,4,5/27/16,1540,D,GD,C,7500,122,0.9801,1,4.11E-02
56,DANCE AFFAIR,0.6,1,3.2,2.9,2.1,17.1,10.1,7,ASD,5,5/27/16,1540,D,GD,AO,11000,121,0.7763,6,-0.1222
56,LITTLE G,23.9,7,0,0,0,17.1,10.1,7,ASD,5,5/27/16,1540,D,GD,AO,11000,121,0.8391,3,-5.94E-02
56,JUNGLE STORY,2.7,3,0,0,2.4,17.1,10.1,7,ASD,5,5/27/16,1540,D,GD,AO,11000,121,0.7796,5,-0.1189
56,LOTUS LANE,7.25,5,0,0,0,17.1,10.1,7,ASD,5,5/27/16,1540,D,GD,AO,11000,116,0.8811,2,-1.74E-02
56,SUGAH SWEET,34,4,0,0,0,17.1,10.1,7,ASD,5,5/27/16,1540,D,GD,AO,11000,121,0.749,7,-0.1495
56,THUNDER GIRL,14.1,6,0,0,0,17.1,10.1,7,ASD,5,5/27/16,1540,D,GD,AO,11000,121,0.8985,1,1.74E-02
56,HAYAKU JOSAN,9.2,2,0,7.3,2.9,17.1,10.1,7,ASD,5,5/27/16,1540,D,GD,AO,11000,123,0.8282,4,-7.03E-02
57,ZERO LIGHT,16.15,7,0,0,0,369.2,140,8,ASD,6,5/27/16,1210,D,GD,C,7700,122,0.8884,4,-5.54E-02
57,IT'SABOUTJAZZ,19.6,2,0,21.6,6.6,369.2,140,8,ASD,6,5/27/16,1210,D,GD,C,7700,117,0.7354,8,-0.2084
57,PRIMARILY WISE,2.05,4,0,0,0,369.2,140,8,ASD,6,5/27/16,1210,D,GD,C,7700,122,0.7646,6,-0.1792
57,RINCON,9.9,1,21.8,11.8,7.1,369.2,140,8,ASD,6,5/27/16,1210,D,GD,C,7700,117,0.9243,3,-1.95E-02
57,TOUCANS JACK,0.75,6,0,0,0,369.2,140,8,ASD,6,5/27/16,1210,D,GD,C,7700,122,0.8276,5,-0.1162
57,BY U SEF,54.4,8,0,0,0,369.2,140,8,ASD,6,5/27/16,1210,D,GD,C,7700,124,0.7534,7,-0.1903999
57,WITTS HENNY PENNY,11.9,3,0,0,7.3,369.2,140,8,ASD,6,5/27/16,1210,D,GD,C,7700,119,0.9288,2,-1.50E-02
57,CUTTER MOUNTAIN,17.8,5,0,0,0,369.2,140,8,ASD,6,5/27/16,1210,D,GD,C,7700,122,0.9438,1,1.50E-02
58,FLOATING RIVER,0.5,1,3,2.4,2.1,11.3,9,8,ASD,7,5/27/16,1210,D,GD,M,7500,123,0.8633,2,-6.42E-02
58,JOVONS REPORT,10.3,4,0,0,0,11.3,9,8,ASD,7,5/27/16,1210,D,GD,M,7500,123,0.8509,4,-7.66E-02
58,TWICE AS EASY,24.45,6,0,0,0,11.3,9,8,ASD,7,5/27/16,1210,D,GD,M,7500,118,0.8628,3,-6.47E-02
58,WRECKING BALL,37.95,8,0,0,0,11.3,9,8,ASD,7,5/27/16,1210,D,GD,M,7500,123,0.8491,5,-7.84E-02
58,LITTLE JAR,7.75,2,0,5,2.8,11.3,9,8,ASD,7,5/27/16,1210,D,GD,M,7500,118,0.9275,1,6.42E-02
58,QUEST ESSENTIAL,2.95,3,0,0,2.1,11.3,9,8,ASD,7,5/27/16,1210,D,GD,M,7500,117,0.8212,6,-0.1063
58,SECRETARY TOUCH,28.15,5,0,0,0,11.3,9,8,ASD,7,5/27/16,1210,D,GD,M,7500,123,0.7521,8,-0.1754
58,BAD REPUTATION,35.85,7,0,0,0,11.3,9,8,ASD,7,5/27/16,1210,D,GD,M,7500,123,0.8181,7,-0.1094
80,HELLUVA CHOICE,15.8,5,0,0,0,22.8,0,6,BEL,1,5/27/16,1100,T,FM,S,75000,119,0.7711,5,-9.24E-02
80,MADE YOU LOOK,7.2,2,0,5.5,3.6,22.8,0,6,BEL,1,5/27/16,1100,T,FM,S,75000,119,0.7913,4,-0.0722
80,RED LODGE,0.95,1,3.9,2.5,2.1,22.8,0,6,BEL,1,5/27/16,1100,T,FM,S,75000,116,0.8369,2,-0.0266
80,CALIFORNIA SWING,8.1,3,0,0,3.7,22.8,0,6,BEL,1,5/27/16,1100,T,FM,S,75000,119,0.7626,6,-0.1009
80,KEEP QUIET (FR),6.8,6,0,0,0,22.8,0,6,BEL,1,5/27/16,1100,T,FM,S,75000,119,0.8635,1,0.0266
80,DANGEROUS DAN,2.8,4,0,0,0,22.8,0,6,BEL,1,5/27/16,1100,T,FM,S,75000,119,0.8124,3,-5.11E-02
81,OVER MY HEAD,19.7,5,0,0,0,7.7,4.2,5,BEL,2,5/27/16,1430,D,FT,C,26000,114,0.7431,5,-0.1375
81,REIGN,15.6,4,0,0,0,7.7,4.2,5,BEL,2,5/27/16,1430,D,FT,C,26000,121,0.8483,2,-0.0323
81,JUST SISTERS,1,1,4,2.4,2.1,7.7,4.2,5,BEL,2,5/27/16,1430,D,FT,C,26000,121,0.8206,3,-0.06
81,VALKIMQUA,5.4,3,0,0,2.2,7.7,4.2,5,BEL,2,5/27/16,1430,D,FT,C,26000,121,0.8806,1,0.0323
81,SPECTACULAR FLASH,1.3,2,0,2.4,2.1,7.7,4.2,5,BEL,2,5/27/16,1430,D,FT,C,26000,119,0.8094,4,-7.12E-02
82,QUEST (GB),1.35,5,0,0,0,21.8,0,6,BEL,3,5/27/16,1760,T,FM,AO,80000,122,0.7971,6,-0.1371
82,COMING ATTRACTION,2.75,2,0,3.4,2.7,21.8,0,6,BEL,3,5/27/16,1760,T,FM,AO,80000,122,0.8003,5,-0.1339
82,SHOPPER,42.25,6,0,0,0,21.8,0,6,BEL,3,5/27/16,1760,T,FM,AO,80000,120,0.9342,1,4.04E-02
82,MY CARA MIA,2.4,1,6.8,3.2,2.5,21.8,0,6,BEL,3,5/27/16,1760,T,FM,AO,80000,120,0.8463,4,-8.79E-02
82,ROYAL TEMPTRESS (I,12.5,4,0,0,0,21.8,0,6,BEL,3,5/27/16,1760,T,FM,AO,80000,120,0.891,3,-4.32E-02
82,PAIGE,7.4,3,0,0,3.7,21.8,0,6,BEL,3,5/27/16,1760,T,FM,AO,80000,120,0.8938,2,-4.04E-02
83,COMPLETELY BONKERS,3.75,2,0,4.8,2.8,54.5,29.4,7,BEL,4,5/27/16,1320,t,FM,R,55000,119,0.8541,3,-4.62E-02
83,BALTIC ART (GER),8.7,6,0,0,0,54.5,29.4,7,BEL,4,5/27/16,1320,t,FM,R,55000,119,0.872,2,-2.83E-02
83,BANKERS HOLIDAY,3.55,3,0,0,3.4,54.5,29.4,7,BEL,4,5/27/16,1320,t,FM,R,55000,124,0.8299,4,-0.0704
83,CRESCENT STREET,20.2,5,0,0,0,54.5,29.4,7,BEL,4,5/27/16,1320,t,FM,R,55000,121,0.7293,7,-0.171
83,CORT,5.5,1,13,6.5,4,54.5,29.4,7,BEL,4,5/27/16,1320,t,FM,R,55000,121,0.9003,1,2.83E-02
