race_id,track,race_number,distance,surface,date_time,race_description,available_bets
0,APX,R1,8.5f,D,05-27-2016<br>13:15,APX R1 8.5f D 05-27-2016<br>13:15 Pacific ,APX R1 8.5f D 05-27-2016<br>13:15 Pacific 
1,APX,R2,7.5f,D,05-27-2016<br>13:43,APX R2 7.5f D 05-27-2016<br>13:43 Pacific ,APX R2 7.5f D 05-27-2016<br>13:43 Pacific 
2,APX,R3,8f,T,05-27-2016<br>14:11,APX R3 8f T 05-27-2016<br>14:11 Pacific ,APX R3 8f T 05-27-2016<br>14:11 Pacific 
3,APX,R4,8.5f,D,05-27-2016<br>14:41,APX R4 8.5f D 05-27-2016<br>14:41 Pacific ,APX R4 8.5f D 05-27-2016<br>14:41 Pacific 
4,APX,R5,8f,T,05-27-2016<br>15:12,APX R5 8f T 05-27-2016<br>15:12 Pacific ,APX R5 8f T 05-27-2016<br>15:12 Pacific 
5,APX,R6,8.5f,D,05-27-2016<br>15:43,APX R6 8.5f D 05-27-2016<br>15:43 Pacific ,APX R6 8.5f D 05-27-2016<br>15:43 Pacific 
6,APX,R7,8.5f,T,05-27-2016<br>16:14,APX R7 8.5f T 05-27-2016<br>16:14 Pacific ,APX R7 8.5f T 05-27-2016<br>16:14 Pacific 
7,APX,R8,5f,T,05-27-2016<br>16:45,APX R8 5f T 05-27-2016<br>16:45 Pacific ,APX R8 5f T 05-27-2016<br>16:45 Pacific 
8,ASD,R1,5.5f,D,05-27-2016<br>17:30,ASD R1 5.5f D 05-27-2016<br>17:30 Pacific ,ASD R1 5.5f D 05-27-2016<br>17:30 Pacific 
9,ASD,R2,5f,D,05-27-2016<br>17:55,ASD R2 5f D 05-27-2016<br>17:55 Pacific ,ASD R2 5f D 05-27-2016<br>17:55 Pacific 
10,ASD,R3,5.5f,D,05-27-2016<br>18:20,ASD R3 5.5f D 05-27-2016<br>18:20 Pacific ,ASD R3 5.5f D 05-27-2016<br>18:20 Pacific 
