race_id,track,race_number,distance,surface,date_time,race_description,available_bets
461,APX,R1,6.5f,D,05-29-2016<br>11:15,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Three Year Olds; ,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (1-2) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (1-3) $0.50 BRISNET.COM EARLY PICK 4 (RACES 1-4)
462,APX,R2,7f,D,05-29-2016<br>11:46,FOR MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 119,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (2-3) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (RACES2-4)
463,APX,R3,8f,T,05-29-2016<br>12:17,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Three Year Olds; ,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (3-4) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (3-5) /$0.20 JACKPOT PICK 6 (3-8) (15% TAKEOUT)
464,APX,R4,6f,D,05-29-2016<br>12:48,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 118 lbs.; Older; 124 ,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (4-5) / $1 EXACTA / 0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (4-6) /$0.50 PICK 5 (4-8) (15% TAKEOUT)
465,APX,R5,8f,T,05-29-2016<br>13:19,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 119 lbs.; Older; 124 ,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (5-6) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (5-7) /$0.50 TWINSPIRES.COM LATE PICK 4 (5-8)
466,APX,R6,6f,D,05-29-2016<br>13:50,FOR THREE YEAR OLDS AND UPWARD ILLINOIS REGISTERED; CONCEIVED AND/OR FOALED WHIC,$2 WIN/PLACE/SHOW / $1 DAILY DOUBLE (6-7) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA / $0.50 PICK 3 (6-8)
467,APX,R7,8f,T,05-29-2016<br>14:21,FOR THREE YEAR OLDS OR FOUR YEAR OLDS AND UPWARD WHICH HAVE NEVER WON THREE RACE,$2 WIN / PLACE / SHOW / $1 DAILY DOUBLE (7-8) / $1 EXACTA / $0.50 TRIFECTA $0.10 SUPERFECTA
468,APX,R8,6.5f,D,05-29-2016<br>14:50,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Three Year Olds; ,$2 WIN/PLACE/SHOW / $1 EXACTA / $0.50 TRIFECTA / $0.10 SUPERFECTA $0.20 JACKPOT HIGH-5 (15% TAKEOUT)
469,ARP,R3,8f,D,05-29-2016<br>12:50,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $3;200,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / TRIFECTA / SUPERFECTA
470,ARP,R4,6f,D,05-29-2016<br>13:15,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Three Year Olds; ,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / TRIFECTA / SUPERFECTA
471,ARP,R5,6f,D,05-29-2016<br>13:40,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NOT WON A RACE IN 2,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / TRIFECTA / SUPERFECTA
472,ARP,R6,5f,D,05-29-2016<br>14:05,FOR THREE YEAR OLDS AND UPWARD. Three Year Olds; 120 lbs.; Older; 124 lbs. Claim,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / TRIFECTA / SUPERFECTA
473,ARP,R7,8f,D,05-29-2016<br>14:30,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NOT WON A RACE OTHER THAN MAIDEN; CLAI,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / TRIFECTA / SUPERFECTA
474,ARP,R9,5.5f,D,05-29-2016<br>15:20,FOR COLORADO BRED MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 120 lbs,WIN/ PLACE/ SHOW/ EXACTA / QUINELLA / 2ND HALF LATE DAILY DOUBLE / TRIFECTA SUPERFECTA
475,BCF,R1,5.5f,D,05-29-2016<br>11:00,FOR THREE YEAR OLDS AND UP WHICH HAVE NOT WON A RACE IN 2016. Weights; 124 lbs. ,$2 1ST HALF DAILY DOUBLE $2 QUINELLA / $2 TRIFECTA ($1 TRI BOX)
476,BCF,R3,5.5f,D,05-29-2016<br>12:00,FOR THREE YEAR OLDS AND UP. Weights; 124 lbs. Claiming Price $1;000.,$2 QUINELLA / $2 TRIFECTA ($1 TRI BOX)
477,BCF,R4,5.5f,D,05-29-2016<br>12:30,FOR THREE YEAR OLDS AND UP. Weight; 124 lbs.,$2 QUINELLA / $2 TRIFECTA ($1 TRI BOX)
478,BCF,R6,5.5f,D,05-29-2016<br>13:30,FOR FILLIES AND MARES THREE YEARS OLD  AND UP WHICH HAVE NEVER WON THREE RACES. ,$2 DAILY TRIPLE (1ST LEG) $2 QUINELLA $2 TRIFECTA ($1 TRI BOX)
479,BCF,R8,6f,D,05-29-2016<br>14:30,FOR FILLIES AND MARES THREE YEARS OLD  AND UP. Weights; 124 lbs.,2ND HALF LATE DOUBLE / DAILY TRIPLE(3RD LEG) $2 QUINELLA / $2 TRIFECTA ($1 TRI BOX)
480,BEL,R1,6.5f,D,05-29-2016<br>10:30,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NEVER WON TWO RACES,EXACTA; TRIFECTA (.50); SUPERFECTA (.10); PICK 3 RACES (1-3) PICK 5 (.50) RACES (1-5); DOUBLE WAGERS
481,BEL,R2,5f,T,05-29-2016<br>11:01,(UP TO $13;500 NYSBFOA) FOR MAIDENS; FILLIES TWO YEARS OLD. Weight; 119 lbs. (No,EXACTA; QUINELLA; TRIFECTA (.50); SUPERFECTA (.10); PICK 3 RACES (2-4) PICK 4 (.50) RACES (2-5); DOUBLE WAGERS
482,BEL,R3,6.5f,D,05-29-2016<br>11:32,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 119 lbs.; Ol,EXACTA; TRIFECTA (.50); SUPERFECTA (.10); PICK 3 RACES (3-5); DOUBLE WAGERS
483,BEL,R4,8.5f,t,05-29-2016<br>12:04,INNER TURF (UP TO $8;100 NYSBFOA) FOR FILLIES AND MARES THREE YEARS OLD  AND UPW,EXACTA; QUINELLA; TRIFECTA (.50); SUPERFECTA (.10); PICK 3 RACES (4-6) PICK 6 RACES (4-9); DOUBLE WAGERS
484,BEL,R5,8.5f,D,05-29-2016<br>12:36,(UP TO $13;500 NYSBFOA) FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Old,EXACTA; TRIFECTA (.50); SUPERFECTA (.10); PICK 3 RACES (5-7) GRAND SLAM RACES (5-8); DOUBLE WAGERS
485,BEL,R6,6f,T,05-29-2016<br>13:09,FOR THREE YEAR OLDS AND UPWARD FOALED IN NEW YORK STATE AND APPROVED BY THE NEW ,EXACTA; TRIFECTA (.50); SUPERFECTA (.10); PICK 3 RACES (6-8) $350K GUARANTEED PICK 4 (.50) RACES (6-9); DOUBLE WAGERS
486,BEL,R7,8.5f,t,05-29-2016<br>13:41,INNER TURF FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD FOALED IN NEW YORK ,EXACTA; TRIFECTA (.50); SUPERFECTA (.10); PICK 3 RACES (7-9); DOUBLE WAGERS
487,BEL,R8,8.5f,D,05-29-2016<br>14:13,(UP TO $14;400 NYSBFOA) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON $10;,EXACTA; TRIFECTA (.50); SUPERFECTA (.10); DOUBLE WAGERS
488,BEL,R9,7f,T,05-29-2016<br>14:45,(UP TO $7;380 NYSBFOA) FOR MAIDENS; FILLIES AND MARES THREE YEARS OLD  AND UPWAR,EXACTA; TRIFECTA (.50); SUPERFECTA (.10) WAGERS
489,BTP,R1,6f,D,05-29-2016<br>10:30,FOR REGISTERED OHIO BRED FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAV,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA / DAILY DOUBLE 50 CENT PICK 4 (RACES 1-2-3-4)
490,BTP,R2,8.3f,D,05-29-2016<br>10:59,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NOT WON A RACE SINCE MAY 29. Three Yea,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA / 50 CENT PICK 3 (RACES 2-3-4)
491,BTP,R3,5.5f,D,05-29-2016<br>11:28,FOR THREE YEAR OLDS AND UPWARD. Three Year Olds; 118 lbs.; Older; 124 lbs. Non-w,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA / 50 CENT PICK 3 (RACES 3-4-5)
492,BTP,R4,6f,D,05-29-2016<br>11:57,FOR REGISTERED OHIO BRED FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAV,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA / 50 CENT PICK 3 (RACES 4-5-6)
493,BTP,R5,6f,D,05-29-2016<br>12:26,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON A RACE OTHER THAN MAIDEN; CL,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA / 50 CENT PICK 3 (RACES 5-6-7)
494,BTP,R6,8.3f,D,05-29-2016<br>12:55,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NOT WON THREE RACES,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA / 50 CENT PICK 4 (RACES 6-7-8-9)
495,BTP,R7,5.5f,D,05-29-2016<br>13:24,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NEVER WON FOUR RACE,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA / 50 CENT PICK 3 (RACES 7-8-9)
496,BTP,R8,8.5f,T,05-29-2016<br>13:53,FOR THREE YEAR OLDS; REGISTERED OHIO BREDS. $50 to nominate. $263 to enter; $487,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA / DAILY DOUBLE
497,BTP,R9,5.5f,D,05-29-2016<br>14:22,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NOT WON TWO RACES S,EXACTA / 50 CENT TRIFECTA / 10 CENT SUPERFECTA
