Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPayFieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
DIMINISHING RETURN,2.5,2,0,3.4,3.2,20.8,0,6,APX,1,05-27-2016,1870,D,FT,M,13000,117,.7623,6,-.1851
BROADWAY BRETT,2.2,1,6.4,4.4,3.6,20.8,0,6,APX,1,05-27-2016,1870,D,FT,M,13000,119,.7968,5,-.1506
CIVIC MINDED,7.9,6,0,0,0,20.8,0,6,APX,1,05-27-2016,1870,D,FT,M,13000,119,.9274,3,-1.999998E-02
KINDA KIRKY,18.1,3,0,0,6.2,20.8,0,6,APX,1,05-27-2016,1870,D,FT,M,13000,122,.9474,1,1.849997E-02
RESTORE,2.3,5,0,0,0,20.8,0,6,APX,1,05-27-2016,1870,D,FT,M,13000,119,.8369,4,-.1105
OUR EL DEE,5.8,4,0,0,0,20.8,0,6,APX,1,05-27-2016,1870,D,FT,M,13000,117,.9289,2,-1.849997E-02
ONE JUNE,1.4,4,0,0,0,174.8,0,6,APX,2,05-27-2016,1650,D,FT,C,11000,122,.8261,4,-5.449998E-02
LIL HEAT,23.1,5,0,0,0,174.8,0,6,APX,2,05-27-2016,1650,D,FT,C,11000,122,.8435,3,-3.709996E-02
SHATTER,6.1,6,0,0,0,174.8,0,6,APX,2,05-27-2016,1650,D,FT,C,11000,122,.8662,2,-1.440001E-02
WAKE UP AND RUN,3.3,1,8.6,5.4,3.2,174.8,0,6,APX,2,05-27-2016,1650,D,FT,C,11000,119,.8806,1,1.440001E-02
DA'BLUES DANCER,1.8,3,0,0,2.8,174.8,0,6,APX,2,05-27-2016,1650,D,FT,C,11000,122,.777,5,-.1036
COCO GIA,30.6,2,0,12.6,4.6,174.8,0,6,APX,2,05-27-2016,1650,D,FT,C,11000,115,.692,6,-.1886
PEPPERMINT ICE,3.3,3,0,0,2.8,28,0,5,APX,3,05-27-2016,1760,O,FT,C,15000,116,.8974,3,-.0327
LISTENUPNOW,3.2,1,8.4,4.4,2.6,28,0,5,APX,3,05-27-2016,1760,O,FT,C,15000,121,.8828,4,-4.730004E-02
AMERICAN MERLOT,3.3,2,0,4.6,2.6,28,0,5,APX,3,05-27-2016,1760,O,FT,C,15000,121,.906,2,-2.410001E-02
SMILINGSUNDAE,1.7,5,0,0,0,28,0,5,APX,3,05-27-2016,1760,O,FT,C,15000,121,.8103,5,-.1198
BID N ASK,5.9,4,0,0,0,28,0,5,APX,3,05-27-2016,1760,O,FT,C,15000,121,.9301,1,2.410001E-02
LAHSHAD,8.6,7,0,0,0,16.8,0,7,APX,4,05-27-2016,1870,D,FT,CO,22500,121,.8976,2,-1.319999E-02
TREND,2.6,1,7.2,3,2.2,16.8,0,7,APX,4,05-27-2016,1870,D,FT,CO,22500,121,.7416,7,-.1692
FORT AIKEN,24.4,5,0,0,0,16.8,0,7,APX,4,05-27-2016,1870,D,FT,CO,22500,121,.8382,5,-7.260001E-02
SHANGHAI RED,1,2,0,2.8,2.2,16.8,0,7,APX,4,05-27-2016,1870,D,FT,CO,22500,121,.813,6,-9.779996E-02
URBAN COOL,10.6,3,0,0,4.6,16.8,0,7,APX,4,05-27-2016,1870,D,FT,CO,22500,121,.8839,4,-2.689999E-02
HIGH SIDE,7.8,6,0,0,0,16.8,0,7,APX,4,05-27-2016,1870,D,FT,CO,22500,121,.9108,1,1.319999E-02
STEELMAN RUN,8.9,4,0,0,0,16.8,0,7,APX,4,05-27-2016,1870,D,FT,CO,22500,121,.887,3,-2.379996E-02
ALLIED COMMANDER,36,7,0,0,0,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,119,.7844,7,-.1705
UNSCATHED,1.5,1,5,3.2,3,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,119,.787,6,-.1679
DA GOOSE,60.3,9,0,0,0,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,124,.472,9,-.4829
WEST GHOST,2.4,2,0,3.4,3,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,124,.8537,4,-.1012
LONG GUN,4.8,5,0,0,0,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,119,.8398,5,-.1151
MR. STEIN,11.8,3,0,0,5,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,124,.9549,1,2.090001E-02
DRAYKE'S CHANNEL,52.7,8,0,0,0,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,119,.6981,8,-.2568001
LA PRADO,11.1,6,0,0,0,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,119,.87,3,-8.490002E-02
MIDNIGHT BLUE NOTE,6.6,4,0,0,0,18,0,9,APX,5,05-27-2016,1760,O,FT,S,32000,119,.934,2,-2.090001E-02
REDBONE,5.6,5,0,0,0,27,0,7,APX,6,05-27-2016,1870,D,FT,C,11000,122,.8976,1,1.739997E-02
SIDE POCKET,2.9,1,7.8,5,3,27,0,7,APX,6,05-27-2016,1870,D,FT,C,11000,122,.8288,4,-6.879997E-02
EBEN ZABEEL,35.4,6,0,0,0,27,0,7,APX,6,05-27-2016,1870,D,FT,C,11000,122,.7462,6,-.1514
JACOB'S LIGHTHOUSE,27.1,4,0,0,0,27,0,7,APX,6,05-27-2016,1870,D,FT,C,11000,122,.7418,7,-.1558
LEON ROBERT,3.5,2,0,4.4,3,27,0,7,APX,6,05-27-2016,1870,D,FT,C,11000,122,.8186,5,-.079
W W ORIENT,2.4,3,0,0,2.4,27,0,7,APX,6,05-27-2016,1870,D,FT,C,11000,122,.8316,3,-6.599998E-02
DRILL SERGEANT,3.3,7,0,0,0,27,0,7,APX,6,05-27-2016,1870,D,FT,C,11000,122,.8802,2,-1.739997E-02
MONTANA KID,.5,1,3,2.4,2.1,10.2,0,6,APX,7,05-27-2016,1870,O,FT,C,17000,121,.833,6,-4.610002E-02
PESO,9.2,5,0,0,0,10.2,0,6,APX,7,05-27-2016,1870,O,FT,C,17000,121,.8517,4,-2.740002E-02
OL ARMY,7,2,0,3.8,2.6,10.2,0,6,APX,7,05-27-2016,1870,O,FT,C,17000,121,.8608,3,-.0183
LOVE YOU MON,5.2,6,0,0,0,10.2,0,6,APX,7,05-27-2016,1870,O,FT,C,17000,121,.8482,5,-.0309
W W CONCERTO,9.3,4,0,0,0,10.2,0,6,APX,7,05-27-2016,1870,O,FT,C,17000,121,.8683,2,-.0108
LASTING IMPACT,13.8,3,0,0,4,10.2,0,6,APX,7,05-27-2016,1870,O,FT,C,17000,121,.8791,1,.0108
BANK ACCOUNT,12.4,6,0,0,0,56.8,0,8,APX,8,05-27-2016,1100,O,FT,CO,15000,122,.8563,2,-.1202
ROARIN MISSILE,3.1,7,0,0,0,56.8,0,8,APX,8,05-27-2016,1100,O,FT,CO,15000,122,.8364,3,-.1401
GYP ROPE,5.2,1,12.4,6.6,4.6,56.8,0,8,APX,8,05-27-2016,1100,O,FT,CO,15000,122,.8147,6,-.1618
UNBRIDLED METT,35,3,0,0,8.8,56.8,0,8,APX,8,05-27-2016,1100,O,FT,CO,15000,122,.7956,7,-.1809
CHATITO,11.9,8,0,0,0,56.8,0,8,APX,8,05-27-2016,1100,O,FT,CO,15000,122,.9765,1,.1202
PROUD JACKSON,8.3,5,0,0,0,56.8,0,8,APX,8,05-27-2016,1100,O,FT,CO,15000,122,.8286,5,-.1479
FORT LEWIS RIVERS,2.5,4,0,0,0,56.8,0,8,APX,8,05-27-2016,1100,O,FT,CO,15000,124,.7326,8,-.2439
OH MY TODD,3.2,2,0,4.6,3,56.8,0,8,APX,8,05-27-2016,1100,O,FT,CO,15000,122,.8345,4,-.142
ROLLER BABE,16.8,2,0,10.6,5,35.4,0,7,APX,1,05-28-2016,990,D,FT,S,32000,117,.817,3,-7.420003E-02
HOW SWEET IT IS,4.5,3,0,0,2.6,35.4,0,7,APX,1,05-28-2016,990,D,FT,S,32000,117,.7854,5,-.1058
AMAZING PEYTON,7.7,4,0,0,0,35.4,0,7,APX,1,05-28-2016,990,D,FT,S,32000,117,.8396,2,-5.159998E-02
CARABLANCA'S DANCE,11.1,5,0,0,0,35.4,0,7,APX,1,05-28-2016,990,D,FT,S,32000,117,.7998,4,-9.140003E-02
SHACKIN UP,.4,1,2.8,2.8,2.1,35.4,0,7,APX,1,05-28-2016,990,D,FT,S,32000,117,.8912,1,5.159998E-02
DEMILICIOUS DESIRE,28.2,7,0,0,0,35.4,0,7,APX,1,05-28-2016,990,D,FT,S,32000,117,.6862,7,-.205
MAIN STAR,21.7,6,0,0,0,35.4,0,7,APX,1,05-28-2016,990,D,FT,S,32000,117,.6901,6,-.2011
MS. ZENERGY,10.5,6,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8453,5,-4.509997E-02
DUEL FOOL,5.3,2,0,5.6,4,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8335,6,-5.689996E-02
MY MOMENT,2.7,1,7.4,4,3,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.7848,7,-.1056
FLYIN FOR A LIVIN,6.1,3,0,0,4,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8477,4,-4.269999E-02
BONNIE BLUE EYES,7.4,7,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8904,1,1.809996E-02
BRAZYN APPEAL,7.3,4,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8723,2,-1.809996E-02
KANSAS QUEEN,2.4,5,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,121,.8602,3,-.0302
LADY DOZER,31.2,8,0,0,0,32.4,0,8,APX,2,05-28-2016,1430,D,FT,C,12000,114,.6601,8,-.2303
G P'S GIRL,6.4,8,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,116,.9109,1,1.499999E-02
SCATLADYBDANCING,13.6,2,0,11.2,5.6,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.8585,4,-5.239999E-02
PENELOPE PERFECT,16.1,6,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.8636,3,-4.729998E-02
LIAR'S SMOKER,2.8,5,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.7904,7,-.1205
NEW ORLEANS LADY,3,7,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,119,.828,5,-8.289999E-02
YUM YUM,2.2,1,6.4,4.2,3.2,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.793,6,-.1179
WAR ALERT,14.5,3,0,0,5.8,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.8959,2,-1.499999E-02
ELAINE KOWALESKI,29.3,4,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.7211,9,-.1898
BALTIC STAR,25.8,9,0,0,0,78.4,0,9,APX,3,05-28-2016,1870,O,FT,A,33000,121,.7343,8,-.1766
GRANDTOBDANCING,26.5,7,0,0,0,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,122,.7563,7,-.1408
SOFIA'S STAR,11,4,0,0,0,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,119,.8664,2,-3.069997E-02
CAFERINA,5.7,6,0,0,0,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,119,.8971,1,3.069997E-02
FAHIONABLY LATE,2.3,2,0,3.6,2.4,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,124,.8375,5,-.0596
REFASHION,4.3,3,0,0,2.6,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,124,.839,4,-5.809999E-02
GILDED ARGUMENT,12.3,5,0,0,0,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,124,.8485,3,-4.859996E-02
SACRED CANYON,1.6,1,5.2,3.2,2.4,12.4,0,7,APX,4,05-28-2016,1430,D,FT,M,13000,124,.7686,6,-.1285
RELOADED,2.3,4,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,119,.821,6,-4.629999E-02
MOON TRACK,2.1,2,0,4.2,3,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,124,.7638,8,-.1034999
EL GANADOR,45.1,12,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,117,.8298,5,-3.749996E-02
MONGOLIAN HOLIDAY,20.3,1,42.6,16.4,7.2,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,119,.6816,12,-.1857
STATURE,40.8,10,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,119,.8067,7,-6.059998E-02
SUDDEN URGES,3.2,3,0,0,2.8,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,124,.8673,1,8.999705E-04
STEALTHY TRAVELER,41,11,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,122,.756,9,-.1113
SUPA,7.2,6,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,124,.8528,3,-1.449996E-02
CHUGGY,30.2,9,0,0,0,156.6,0,12,APX,5,05-28-2016,1870,O,FT,M,17000,122,.6989,11,-.1684
