race_id,Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPay,FieldSize,track,RaceNum,Date,DistYrds,surface,TrackCondition,ClassDescriptor,Purse,Weight,PP,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
460,NOEASYWAYOUT,13.1,6,0,0,0,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,122,1,0.8347,4,-0.1023
460,HOLY BULLEX,4.9,2,0,4.2,3.6,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,117,2,0.8655,2,-0.0715
460,CHERNYAHOVSKIY,5.1,3,0,0,3,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,122,3,0.8266,5,-0.1104
460,OUTLAWJOE,5.9,5,0,0,0,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,122,4,0.937,1,0.0715
460,SUMMER DISCO,2.9,4,0,0,0,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,119,5,0.8405,3,-9.65E-02
460,MEAN INTENTIONS,1.4,1,4.8,2.8,2.4,20.8,0,6,APX,1,5/29/16,1430,D,FT,C,15000,122,6,0.823,6,-0.114
461,FASHION HILL,1.2,1,4.4,3.2,2.4,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,119,1,0.763,5,-0.1702
461,SISTER CEARI,3.4,2,0,4.2,2.6,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,118,2,0.8989,2,-3.43E-02
461,HAVINGNOEQUAL,6.7,4,0,0,0,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,124,3,0.9332,1,3.43E-02
461,TINA OF EKATI,2.5,3,0,0,2.2,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,124,4,0.7406,6,-0.1926
461,GIFT OF SENSE,13.3,5,0,0,0,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,124,5,0.8809,4,-5.23E-02
461,MALLORY'S CHANNEL,17.6,6,0,0,0,11.8,0,6,APX,2,5/29/16,1540,D,FT,M,17000,119,6,0.8984,3,-3.48E-02
462,RABANITO,13.9,3,0,0,5.6,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,119,1,0.8746,4,-2.15E-02
462,TEN GUITARS,14.3,6,0,0,0,16.4,0,7,APX,3,5/29/16,1760,T,YL,C,19000,116,2,0.8935,2,-2.60E-03
